promptid,subset,front_FCD,front_FGR,front_FDF,front_ECS,front_OSR,front_cache_hit,front_len_words,front_sha256_12,second_FCD,second_FGR,second_FDF,second_ECS,second_OSR,second_cache_hit,second_len_words,second_sha256_12,third_FCD,third_FGR,third_FDF,third_ECS,third_OSR,third_cache_hit,third_len_words,third_sha256_12,evaluator_substituted
247,stress,0.45,0.25,0.0,0.0,0.44,0,326,7b3e58e682f4,0.3,0.15,0.05,0.1,0.36,0,131,f9657a94777c,0.5,0.2,0.0,0.0,0.05,0,43,c67b812bb247,0
248,stress,0.85,0.2,0.0,0.0,0.09999999999999999,1,410,c20a3c189b0c,0.4,0.8,0.1,0.5,0.38,1,178,a675c32dee8b,0.2,1.0,0.3,0.8,0.05,1,41,63d36b992e5a,0
249,stress,0.75,0.25,0.05,0.9,0.05,0,175,c98131eb51ec,0.8,0.2,0.0,1.0,0.36,0,142,a98f3e3d21c5,0.85,0.15,0.0,1.0,0.15999999999999998,0,65,989db9834003,0
250,stress,1.0,0.0,0.0,0.0,0.05,0,24,7d4fb93bcf1a,0.5,0.25,0.1,0.75,0.36,0,79,0e1edcb25725,0.67,0.33,0.05,0.9,0.05,0,27,eabc322c906e,0
251,stress,0.0,0.0,1.0,1.0,0.05,0,31,afe4fc0e9b5a,0.25,0.5,0.75,0.9,0.42,0,86,2f72779e4c70,0.0,0.0,1.0,1.0,0.05,0,29,e577447b73c5,0
252,stress,0.75,0.25,0.0,0.5,0.05,0,155,e9a9da9873ea,0.8,0.2,0.0,0.6,0.3,0,125,63006fbdab60,0.9,0.1,0.0,0.8,0.09999999999999999,1,42,2069e1ab2318,0
253,stress,0.0,0.0,1.0,1.0,0.09999999999999999,0,28,468646ee859e,0.25,0.5,0.75,0.9,0.36,0,115,cf5fb224a6ad,1.0,0.0,0.0,1.0,0.09999999999999999,0,15,d3625856bc5c,0
254,stress,0.0,0.0,1.0,1.0,0.05,0,32,7c14d55b9075,0.25,0.75,0.5,0.9,0.42,0,73,aed772880ea0,0.33,0.67,0.0,1.0,0.05,0,27,3ed1574720bf,0
255,stress,0.0,0.0,1.0,1.0,0.05,0,14,3f8aebc3f898,0.0,0.0,0.0,0.0,0.05,0,48,d4c955c07861,0.0,0.0,1.0,1.0,0.09999999999999999,0,19,d54d7aac9032,0
256,stress,0.0,0.0,1.0,1.0,0.05,0,20,0b53fa82842c,0.25,0.5,0.75,0.9,0.48,0,67,591bc38e9cd3,0.0,0.0,1.0,1.0,0.05,0,14,53199d8f5813,0
257,stress,0.0,0.0,1.0,0.0,0.05,0,23,9c0e46c6cda0,0.25,0.5,0.75,0.5,0.36,0,107,49c3fc00b534,0.33,0.67,0.83,0.67,0.05,0,29,ed1953084dec,0
258,stress,1.0,0.0,0.0,0.0,0.05,0,24,f1df0dcb42b7,0.5,0.25,0.0,0.75,0.44,0,87,04f13212ed2a,1.0,0.0,0.0,1.0,0.05,0,20,70738f14c08d,0
259,stress,0.0,0.0,1.0,1.0,0.05,0,25,8d2b348b4d60,0.25,0.5,0.75,0.75,0.36,0,77,86473f3d26bd,0.0,0.0,1.0,1.0,0.09999999999999999,0,27,ff8817688d08,0
260,stress,0.85,0.2,0.0,0.1,0.19999999999999998,0,375,44b8e78635cd,0.6,0.4,0.05,0.3,0.38,0,197,b84578acbb4c,0.8,0.25,0.0,0.2,0.06,0,58,568aa2625f46,0
261,stress,0.45,0.35,0.15,0.8,0.21999999999999997,0,402,13c74d71a280,0.25,0.2,0.4,0.95,0.6,0,134,6005cb130d3d,0.1,0.05,0.6,1.0,0.06,0,33,c028c26ddb1e,0
262,stress,0.85,0.65,0.0,0.0,0.26,0,390,93091d9b8075,0.6,0.45,0.2,0.3,0.42,0,154,d4a692838c45,1.0,1.0,0.0,1.0,0.36,0,43,163a7aa5fa7e,0
263,stress,0.5,0.25,0.0,0.0,0.05,0,109,311fdee36729,0.33,0.17,0.2,0.5,0.36,0,107,bab5ecf9c9b6,0.4,0.22,0.15,0.3,0.05,0,65,4550bbcec2e1,0
264,stress,0.85,0.2,0.0,0.0,0.05,0,333,a596a9d3700a,0.6,0.3,0.1,0.2,0.42,0,125,c3c3ec6788be,1.0,0.0,0.0,1.0,0.05,0,65,a0b720ff424e,0
265,stress,0.0,0.0,1.0,1.0,0.05,1,19,442d13f6d645,0.25,0.5,0.75,0.9,0.3,1,67,6cf050a47375,0.0,0.0,1.0,1.0,0.05,1,18,7204e59e9067,0
266,stress,0.0,0.0,1.0,1.0,0.05,1,21,f152e6832ae2,0.25,0.5,0.75,0.75,0.36,1,106,9043b2042c10,0.33,0.67,0.83,0.83,0.05,1,28,4ccb95a249e3,0
267,stress,0.0,0.0,1.0,1.0,0.12,1,17,bbdb56ab3ab1,0.25,0.5,0.75,0.9,0.48,1,70,b146b0a48c8b,0.0,0.0,1.0,1.0,0.05,1,20,93892df424cb,0
268,stress,0.0,0.0,1.0,1.0,0.05,0,25,17903fc89983,0.25,0.75,0.5,0.9,0.42,0,67,41e9eb041613,0.33,0.67,0.0,1.0,0.05,0,20,6c8fe4cde411,0
269,stress,0.85,0.75,0.0,0.0,0.3,1,478,e8119c04f073,0.6,0.4,0.2,0.8,0.36,1,122,eee4fa89e6b5,0.7,0.5,0.1,0.9,0.3,1,33,8bae8b4a3284,0
270,stress,0.85,0.25,0.0,0.0,0.19999999999999998,1,436,a939ba002f95,0.15,1.0,0.5,0.75,0.56,1,115,e6b550421243,0.1,1.0,0.0,1.0,0.05,1,23,0362b8353aa2,0
271,stress,0.0,0.0,1.0,1.0,0.05,1,23,badcdabd5403,0.5,0.25,0.0,0.75,0.36,1,88,c00b8942e150,0.5,0.25,0.0,1.0,0.05,1,22,12480e786418,0
272,stress,0.85,0.75,0.0,0.0,0.19999999999999998,1,489,1d6e3d204d23,0.2,0.1,1.0,1.0,0.62,1,196,264e11160536,0.0,0.0,0.0,1.0,0.05,1,14,c1703cabbb1a,0
273,stress,0.0,0.0,1.0,1.0,0.05,1,21,1832baa5cc51,0.0,0.0,0.0,1.0,0.36,1,54,70775ea76861,0.0,0.0,0.0,1.0,0.05,1,22,34919cd2aa02,0
274,stress,0.0,0.0,1.0,1.0,0.05,1,22,0b13cb58078f,0.25,0.5,0.75,0.75,0.36,1,70,de1f5e011168,0.33,0.67,0.83,0.83,0.05,1,18,8bd8b63b9cba,0
275,stress,0.85,0.65,0.15,0.2,0.31999999999999995,1,480,20fbe275782d,0.3,0.8,0.9,1.0,0.42,1,168,06500d49678c,0.1,1.0,0.95,1.0,0.05,1,36,f87c45bd8653,0
276,stress,0.85,0.75,0.0,0.0,0.3,1,353,87914c0a14d0,0.6,0.4,0.2,0.3,0.38,1,126,1a1ba93e17ea,0.5,0.35,0.25,0.4,0.19999999999999998,1,37,aa63332eb378,0
277,stress,0.0,0.0,1.0,1.0,0.05,0,28,99a90db459fb,0.25,0.5,0.75,0.75,0.36,0,105,84c3cd990130,1.0,0.0,0.0,1.0,0.05,0,36,9d223ab60fc8,0
278,stress,0.85,0.65,0.15,0.2,0.09999999999999999,1,541,7514c669ce76,0.3,0.1,0.8,0.9,0.5,1,229,949b1609a817,0.2,0.05,0.95,1.0,0.09999999999999999,1,30,79f7e053adbc,0
279,stress,0.0,0.0,1.0,1.0,0.05,0,25,0a68a837fbaa,0.25,0.5,0.75,0.9,0.36,0,108,d45a96084021,0.0,0.0,1.0,1.0,0.05,0,20,e9bc9118227e,0
280,stress,0.85,0.2,0.0,0.0,0.09999999999999999,1,410,c20a3c189b0c,0.4,0.8,0.1,0.5,0.38,1,178,a675c32dee8b,0.0,1.0,0.2,0.8,0.05,1,41,63d36b992e5a,0
281,stress,0.75,0.25,0.05,0.9,0.05,1,175,c98131eb51ec,0.8,0.2,0.03,0.85,0.36,1,142,a98f3e3d21c5,0.95,0.05,0.01,0.8,0.15999999999999998,1,65,989db9834003,0
282,stress,0.75,0.0,1.0,1.0,0.05,1,21,f152e6832ae2,0.5,0.25,0.75,0.75,0.36,1,106,9043b2042c10,0.67,0.0,1.0,1.0,0.05,1,28,4ccb95a249e3,0
283,stress,1.0,0.0,0.0,0.0,0.12,1,17,bbdb56ab3ab1,0.5,0.25,0.1,0.75,0.48,1,70,b146b0a48c8b,0.0,0.0,0.0,1.0,0.05,1,20,93892df424cb,0
284,stress,0.0,0.0,1.0,1.0,0.05,1,25,17903fc89983,0.5,0.25,0.75,0.9,0.42,1,67,41e9eb041613,1.0,0.0,0.0,1.0,0.05,1,20,6c8fe4cde411,0
285,stress,0.0,0.0,1.0,1.0,0.09999999999999999,1,28,468646ee859e,0.25,0.5,0.75,0.9,0.36,1,115,cf5fb224a6ad,1.0,1.0,0.0,1.0,0.09999999999999999,1,15,d3625856bc5c,0
286,stress,0.0,0.0,1.0,1.0,0.05,1,32,7c14d55b9075,0.25,0.5,0.75,0.9,0.42,1,73,aed772880ea0,1.0,1.0,0.0,1.0,0.05,1,27,3ed1574720bf,0
287,stress,0.0,0.0,1.0,1.0,0.05,1,23,badcdabd5403,0.5,0.25,0.0,0.75,0.36,1,88,c00b8942e150,0.5,0.25,0.0,0.75,0.05,1,22,12480e786418,0
288,stress,0.0,0.0,1.0,1.0,0.05,1,20,0b53fa82842c,0.25,0.5,0.75,0.9,0.48,1,67,591bc38e9cd3,0.0,0.0,1.0,1.0,0.05,1,14,53199d8f5813,0
289,stress,1.0,0.0,0.0,0.0,0.05,1,23,9c0e46c6cda0,0.5,0.25,0.1,0.75,0.36,1,107,49c3fc00b534,1.0,0.0,0.0,0.0,0.05,1,29,ed1953084dec,0
290,stress,1.0,0.0,0.0,0.0,0.05,1,24,f1df0dcb42b7,0.5,0.25,0.1,0.75,0.44,1,87,04f13212ed2a,1.0,0.0,0.0,1.0,0.05,1,20,70738f14c08d,0
291,stress,0.0,0.0,1.0,1.0,0.05,1,25,8d2b348b4d60,0.5,0.25,0.75,0.9,0.36,1,77,86473f3d26bd,0.0,0.0,1.0,1.0,0.09999999999999999,1,27,ff8817688d08,0
292,stress,0.85,0.2,0.0,0.0,0.19999999999999998,1,375,44b8e78635cd,0.6,0.4,0.1,0.2,0.38,1,197,b84578acbb4c,0.5,0.3,0.05,0.15,0.06,1,58,568aa2625f46,0
293,stress,0.0,0.0,1.0,1.0,0.05,1,28,99a90db459fb,0.25,0.5,0.75,0.9,0.36,1,105,84c3cd990130,1.0,0.0,0.0,1.0,0.05,1,36,9d223ab60fc8,0
294,stress,0.5,0.5,0.2,0.2,0.26,1,390,93091d9b8075,0.45,0.45,0.25,0.25,0.42,1,154,d4a692838c45,0.4,0.4,0.3,0.3,0.36,1,43,163a7aa5fa7e,1
295,stress,0.75,0.0,0.25,0.5,0.05,0,22,4d31b736a6f2,0.9,0.1,0.05,0.8,0.36,0,76,525c0e395368,0.95,0.0,0.0,1.0,0.26,0,39,db1faed0cffc,0
296,stress,0.85,0.2,0.0,0.0,0.09999999999999999,1,410,c20a3c189b0c,0.4,0.8,0.1,0.5,0.38,1,178,a675c32dee8b,0.0,1.0,0.2,0.8,0.05,1,41,63d36b992e5a,0
297,stress,0.0,0.0,1.0,1.0,0.05,1,19,442d13f6d645,0.5,0.25,0.75,0.9,0.3,1,67,6cf050a47375,0.0,0.0,1.0,1.0,0.05,1,18,7204e59e9067,0
298,stress,0.0,0.0,1.0,1.0,0.05,1,21,f152e6832ae2,0.5,0.25,0.75,0.9,0.36,1,106,9043b2042c10,1.0,0.0,0.5,0.8,0.05,1,28,4ccb95a249e3,0
299,stress,1.0,0.0,0.0,0.0,0.12,1,17,bbdb56ab3ab1,0.5,0.25,0.1,0.75,0.48,1,70,b146b0a48c8b,0.0,0.0,0.0,1.0,0.05,1,20,93892df424cb,0
300,stress,0.0,0.0,1.0,1.0,0.05,1,25,17903fc89983,0.5,0.25,0.75,0.9,0.42,1,67,41e9eb041613,1.0,0.0,0.0,1.0,0.05,1,20,6c8fe4cde411,0
301,stress,0.5,0.5,0.2,0.2,0.3,1,478,e8119c04f073,0.45,0.45,0.25,0.25,0.36,1,122,eee4fa89e6b5,0.4,0.4,0.3,0.3,0.3,1,33,8bae8b4a3284,1
302,stress,0.85,0.25,0.0,0.0,0.19999999999999998,1,436,a939ba002f95,0.15,1.0,0.5,0.75,0.56,1,115,e6b550421243,0.1,1.0,0.0,1.0,0.05,1,23,0362b8353aa2,0
303,stress,0.0,0.0,1.0,1.0,0.05,1,23,badcdabd5403,0.5,0.25,0.0,0.75,0.36,1,88,c00b8942e150,0.5,0.25,0.0,0.75,0.05,1,22,12480e786418,0
304,stress,0.45,0.25,0.0,0.0,0.19999999999999998,1,489,1d6e3d204d23,0.1,0.05,1.0,1.0,0.62,1,196,264e11160536,0.0,0.0,0.0,1.0,0.05,1,14,c1703cabbb1a,0
305,stress,0.0,1.0,0.0,0.0,0.05,1,21,1832baa5cc51,0.5,0.25,0.0,0.0,0.36,1,54,70775ea76861,1.0,0.0,0.0,0.5,0.05,1,22,34919cd2aa02,0
306,stress,0.0,0.0,1.0,1.0,0.05,1,22,0b13cb58078f,0.25,0.5,0.75,0.75,0.36,1,70,de1f5e011168,0.33,0.67,0.83,0.83,0.05,1,18,8bd8b63b9cba,0
307,stress,0.45,0.25,0.15,0.1,0.31999999999999995,1,480,20fbe275782d,0.05,0.0,0.9,1.0,0.42,1,168,06500d49678c,0.0,0.0,0.95,1.0,0.05,1,36,f87c45bd8653,0
308,stress,0.75,0.8,0.0,0.0,0.3,1,353,87914c0a14d0,0.6,0.7,0.2,0.3,0.38,1,126,1a1ba93e17ea,0.5,0.6,0.4,0.5,0.19999999999999998,1,37,aa63332eb378,0
309,stress,0.0,0.0,1.0,1.0,0.05,1,28,99a90db459fb,0.25,0.5,0.75,0.75,0.36,1,105,84c3cd990130,1.0,0.0,0.0,1.0,0.05,1,36,9d223ab60fc8,0
